epoch,param,frob_norm,numel
1,layers.2.norm2.bias,0.0028444118797779083,64
1,layers.3.models.0.self_attn.Q.weight,4.630107402801514,4096
1,layers.3.models.0.self_attn.K.weight,4.6617913246154785,4096
1,layers.3.models.0.self_attn.E.weight,4.617731094360352,4096
1,layers.3.models.0.self_attn.V.weight,4.653919696807861,4096
1,layers.3.models.0.self_attn.V_gate.weight,4.618563175201416,4096
1,layers.3.models.0.self_attn.shared_rel_emb_table.weight,0.3423337936401367,1152
1,layers.3.models.0.self_attn.proj_q.weight,0.6354349255561829,4096
1,layers.3.models.0.self_attn.proj_k.weight,0.6488144397735596,4096
1,layers.3.models.0.self_attn.proj_e.weight,0.6394879221916199,4096
1,layers.3.models.0.self_attn.proj_vg.weight,0.6447538733482361,4096
1,layers.3.models.0.norm1_attn.weight,8.000213623046875,64
1,layers.3.models.0.norm1_attn.bias,0.002967235865071416,64
1,layers.3.ff_linear1.weight,6.542385101318359,8192
1,layers.3.ff_linear1.bias,0.7961685061454773,128
1,layers.3.ff_linear2.weight,4.631402492523193,8192
1,layers.3.ff_linear2.bias,0.4178415536880493,64
1,layers.3.norm2.weight,8.000262260437012,64
1,layers.3.norm2.bias,0.0030029253102838993,64
1,layers.4.models.0.self_attn.Q.weight,4.59843111038208,4096
1,layers.4.models.0.self_attn.K.weight,4.623053550720215,4096
1,layers.4.models.0.self_attn.E.weight,4.639603137969971,4096
1,layers.4.models.0.self_attn.V.weight,4.668212890625,4096
1,layers.4.models.0.self_attn.V_gate.weight,4.563582420349121,4096
1,layers.4.models.0.self_attn.shared_rel_emb_table.weight,0.3401317894458771,1152
1,layers.4.models.0.self_attn.proj_q.weight,0.6435022354125977,4096
1,layers.4.models.0.self_attn.proj_k.weight,0.6447322368621826,4096
1,layers.4.models.0.self_attn.proj_e.weight,0.6384298205375671,4096
1,layers.4.models.0.self_attn.proj_vg.weight,0.6426751017570496,4096
1,layers.4.models.0.norm1_attn.weight,8.001638412475586,64
1,layers.4.models.0.norm1_attn.bias,0.004470599815249443,64
1,layers.4.ff_linear1.weight,6.521643161773682,8192
1,layers.4.ff_linear1.bias,0.7911214828491211,128
1,layers.4.ff_linear2.weight,4.619916915893555,8192
1,layers.4.ff_linear2.bias,0.39513370394706726,64
1,layers.4.norm2.weight,7.998584747314453,64
1,layers.4.norm2.bias,0.004232099279761314,64
1,post_mp.rel_emb.weight,34.13005065917969,1152
1,post_mp.scorer.weight,0.5624701380729675,128
1,post_mp.scorer.bias,0.015613063238561153,1
2,encoder.node_encoder.rel_emb.weight,34.64698028564453,1152
2,encoder.edge_encoder.emb.weight,33.824180603027344,1152
2,encoder.exp_edge_fixer.exp_edge_attr.weight,8.669381141662598,64
2,encoder.exp_edge_fixer.exp_edge_query_emb.weight,0.3325825035572052,1152
2,layers.0.models.0.self_attn.Q.weight,4.614981174468994,4096
2,layers.0.models.0.self_attn.K.weight,4.66583251953125,4096
2,layers.0.models.0.self_attn.E.weight,4.61323356628418,4096
2,layers.0.models.0.self_attn.V.weight,4.595823764801025,4096
2,layers.0.models.0.self_attn.V_gate.weight,4.605682849884033,4096
2,layers.0.models.0.self_attn.shared_rel_emb_table.weight,0.34739622473716736,1152
2,layers.0.models.0.self_attn.proj_q.weight,0.6398440003395081,4096
2,layers.0.models.0.self_attn.proj_k.weight,0.6336786150932312,4096
2,layers.0.models.0.self_attn.proj_e.weight,0.6329911351203918,4096
2,layers.0.models.0.self_attn.proj_vg.weight,0.630131721496582,4096
2,layers.0.models.0.norm1_attn.weight,8.000693321228027,64
2,layers.0.models.0.norm1_attn.bias,0.007095843553543091,64
2,layers.0.ff_linear1.weight,6.539057731628418,8192
2,layers.0.ff_linear1.bias,0.8512365221977234,128
2,layers.0.ff_linear2.weight,4.630274295806885,8192
2,layers.0.ff_linear2.bias,0.39505743980407715,64
2,layers.0.norm2.weight,8.000190734863281,64
2,layers.0.norm2.bias,0.0066034612245857716,64
2,layers.1.models.0.self_attn.Q.weight,4.59348201751709,4096
2,layers.1.models.0.self_attn.K.weight,4.643716812133789,4096
2,layers.1.models.0.self_attn.E.weight,4.565311908721924,4096
2,layers.1.models.0.self_attn.V.weight,4.656548500061035,4096
2,layers.1.models.0.self_attn.V_gate.weight,4.645687580108643,4096
2,layers.1.models.0.self_attn.shared_rel_emb_table.weight,0.3357410430908203,1152
2,layers.1.models.0.self_attn.proj_q.weight,0.6312066316604614,4096
2,layers.1.models.0.self_attn.proj_k.weight,0.6411242485046387,4096
2,layers.1.models.0.self_attn.proj_e.weight,0.64313143491745,4096
2,layers.1.models.0.self_attn.proj_vg.weight,0.6574185490608215,4096
2,layers.1.models.0.norm1_attn.weight,7.999583721160889,64
2,layers.1.models.0.norm1_attn.bias,0.0054717473685741425,64
2,layers.1.ff_linear1.weight,6.505857467651367,8192
2,layers.1.ff_linear1.bias,0.7959423065185547,128
2,layers.1.ff_linear2.weight,4.674492835998535,8192
2,layers.1.ff_linear2.bias,0.41896045207977295,64
2,layers.1.norm2.weight,7.999925136566162,64
2,layers.1.norm2.bias,0.005225379019975662,64
2,layers.2.models.0.self_attn.Q.weight,4.650799751281738,4096
2,layers.2.models.0.self_attn.K.weight,4.6294660568237305,4096
2,layers.2.models.0.self_attn.E.weight,4.649472713470459,4096
2,layers.2.models.0.self_attn.V.weight,4.63448429107666,4096
2,layers.2.models.0.self_attn.V_gate.weight,4.5857834815979,4096
2,layers.2.models.0.self_attn.shared_rel_emb_table.weight,0.34124377369880676,1152
2,layers.2.models.0.self_attn.proj_q.weight,0.6427740454673767,4096
2,layers.2.models.0.self_attn.proj_k.weight,0.6410756707191467,4096
